scenarij,TimeStep,kategorija,pos_zgornja,neg_zgornja,vozila_zgornja,pos_spodnja,neg_spodnja,vozila_spodnja,Cas
50pct,50,industrijsko,58104.864281942544,15205.535718057454,1697,55858.65672733061,14686.943272669396,1633.0,12:30
50pct,50,izobrazevalno,12427.422707539523,3426.9772924604786,367,0.0,0.0,0.0,12:30
50pct,50,poslovno,26971.88413482752,7069.71586517248,788,18037.565705270546,4815.234294729451,529.0,12:30
50pct,50,stanovanjsko,94149.06772211278,24694.132277887205,2751,0.0,0.0,0.0,12:30
50pct,50,zelene_povrsine,3509.1341881511235,1026.8658118488765,105,0.0,0.0,0.0,12:30
50pct,51,delovno_neopredeljeno,39984.11512670695,9868.684873293052,1154,39984.11512670695,9868.684873293052,1154.0,12:45
50pct,51,drugo_neopredeljeno,43898.05698747866,12607.543012521342,1308,0.0,0.0,0.0,12:45
50pct,51,industrijsko,57826.811543447046,15224.38845655296,1691,55570.15951046823,14673.040489531775,1626.0,12:45
50pct,51,izobrazevalno,12126.882577863067,3338.7174221369314,358,0.0,0.0,0.0,12:45
50pct,51,poslovno,26541.213340341597,6981.986659658402,776,18136.14218425242,4846.257815747577,532.0,12:45
50pct,51,stanovanjsko,95485.06267056105,25302.137329438956,2796,0.0,0.0,0.0,12:45
50pct,51,zelene_povrsine,3299.4485189843726,977.3514810156272,99,0.0,0.0,0.0,12:45
50pct,52,delovno_neopredeljeno,40003.62227306111,9892.37772693889,1155,40003.62227306111,9892.37772693889,1155.0,13:00
50pct,52,drugo_neopredeljeno,42268.44551380065,12206.754486199348,1261,0.0,0.0,0.0,13:00
50pct,52,industrijsko,58305.489624811875,15393.71037518813,1706,56088.59044987619,14845.809550123811,1642.0,13:00
50pct,52,izobrazevalno,12004.971874242494,3287.828125757507,354,0.0,0.0,0.0,13:00
50pct,52,poslovno,26428.044432040315,6965.5555679596855,773,18268.170217546787,4887.02978245321,536.0,13:00
50pct,52,stanovanjsko,97306.02283405291,25900.377165947088,2852,0.0,0.0,0.0,13:00
50pct,52,zelene_povrsine,3193.2160739515666,953.9839260484337,96,0.0,0.0,0.0,13:00
50pct,53,delovno_neopredeljeno,40166.1266883921,9945.873311607902,1160,40166.1266883921,9945.873311607902,1160.0,13:15
50pct,53,drugo_neopredeljeno,40559.064616880365,11842.535383119637,1213,0.0,0.0,0.0,13:15
50pct,53,industrijsko,58675.82433670479,15541.775663295211,1718,56457.044411249284,14995.755588750713,1654.0,13:15
50pct,53,izobrazevalno,11731.952059918774,3172.0479400812264,345,0.0,0.0,0.0,13:15
50pct,53,poslovno,26593.068778932662,7016.531221067337,778,18420.895585634233,4950.304414365766,541.0,13:15
50pct,53,stanovanjsko,99184.25773209329,26570.942267906714,2911,0.0,0.0,0.0,13:15
50pct,53,zelene_povrsine,3060.1861201556503,914.2138798443495,92,0.0,0.0,0.0,13:15
50pct,54,delovno_neopredeljeno,40201.04342401338,9954.156575986613,1161,40201.04342401338,9954.156575986613,1161.0,13:30
50pct,54,drugo_neopredeljeno,38951.94252312779,11376.057476872205,1165,0.0,0.0,0.0,13:30
50pct,54,industrijsko,58423.984830594694,15448.015169405307,1710,56335.56467641473,14944.435323585269,1650.0,13:30
50pct,54,izobrazevalno,11391.775557564519,3080.2244424354813,335,0.0,0.0,0.0,13:30
50pct,54,poslovno,26327.669784936068,6979.530215063931,771,18436.770297739593,4977.629702260407,542.0,13:30
50pct,54,stanovanjsko,100883.23604399734,27291.163956002674,2967,0.0,0.0,0.0,13:30
50pct,54,zelene_povrsine,2848.044638219128,823.9553617808717,85,0.0,0.0,0.0,13:30
50pct,55,delovno_neopredeljeno,40246.26443028359,9995.335569716412,1163,40246.26443028359,9995.335569716412,1163.0,13:45
50pct,55,drugo_neopredeljeno,37431.06262819944,10952.937371800559,1120,0.0,0.0,0.0,13:45
50pct,55,industrijsko,58602.04018095097,15529.15981904903,1716,56612.00309215514,15056.796907844864,1659.0,13:45
50pct,55,izobrazevalno,11053.178410571782,2986.821589428219,325,0.0,0.0,0.0,13:45
50pct,55,poslovno,26074.180573490965,6973.819426509035,765,18476.223902081143,5024.576097918855,544.0,13:45
50pct,55,stanovanjsko,103131.06938314706,28110.530616852946,3038,0.0,0.0,0.0,13:45
50pct,55,zelene_povrsine,2810.8846136780044,817.9153863219955,84,0.0,0.0,0.0,13:45
50pct,56,delovno_neopredeljeno,40065.669594051666,10003.130405948337,1159,40065.669594051666,10003.130405948337,1159.0,14:00
50pct,56,drugo_neopredeljeno,35537.602764258474,10383.997235741528,1063,0.0,0.0,0.0,14:00
50pct,56,industrijsko,58265.48831805104,15476.911681948963,1707,56425.56836125553,15027.231638744466,1654.0,14:00
50pct,56,izobrazevalno,10608.103471157094,2870.2965288429073,312,0.0,0.0,0.0,14:00
50pct,56,poslovno,25494.8975958673,6861.9024041327,749,18397.535558949407,5016.864441050591,542.0,14:00
50pct,56,stanovanjsko,105038.98104966994,28881.018950330068,3100,0.0,0.0,0.0,14:00
50pct,56,zelene_povrsine,2746.677337847494,795.722662152506,82,0.0,0.0,0.0,14:00
50pct,57,delovno_neopredeljeno,40213.97806831488,10070.821931685117,1164,40213.97806831488,10070.821931685117,1164.0,14:15
50pct,57,drugo_neopredeljeno,34391.86566461413,10060.93433538587,1029,0.0,0.0,0.0,14:15
50pct,57,industrijsko,57686.94323302228,15277.856766977726,1689,55835.64051496421,14839.559485035787,1636.0,14:15
50pct,57,izobrazevalno,10233.089964177134,2770.110035822865,301,0.0,0.0,0.0,14:15
50pct,57,poslovno,25165.51700639091,6759.282993609089,739,18370.03262345057,5001.167376549427,541.0,14:15
50pct,57,stanovanjsko,107849.49677291146,29915.303227088545,3189,0.0,0.0,0.0,14:15
50pct,57,zelene_povrsine,2522.4192118584024,717.5807881415975,75,0.0,0.0,0.0,14:15
50pct,58,delovno_neopredeljeno,39908.38479198715,9987.615208012854,1155,39908.38479198715,9987.615208012854,1155.0,14:30
50pct,58,drugo_neopredeljeno,32866.747959117856,9598.852040882142,983,0.0,0.0,0.0,14:30
50pct,58,industrijsko,56631.86561003638,14993.73438996362,1658,54995.127865252245,14600.072134747752,1611.0,14:30
